ITEM: TIMESTEP
1
ITEM: NUMBER OF ATOMS
1372
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 1.1757173339677550e+01
0.0000000000000000e+00 1.1757173339677550e+01
0.0000000000000000e+00 1.1757173339677550e+01
ITEM: ATOMS id vx vy vz 
628 -0.452234 -0.87062 0.798124 
629 1.35283 -1.13604 0.417193 
630 -2.23236 0.862599 0.158376 
631 -0.914565 0.962472 -0.407554 
632 -0.444738 -0.350059 -1.39098 
633 0.771739 0.361267 -0.970537 
634 0.0444953 -1.65708 -0.383228 
635 1.2977 2.14093 -0.956067 
636 0.898151 0.484305 -0.756321 
637 -1.47304 -1.3296 0.315009 
638 -0.102381 0.531692 1.03778 
639 -0.507561 0.887336 -0.214715 
640 1.27026 1.09145 0.823548 
641 0.0399894 -1.25806 0.291291 
642 1.05696 -2.10019 0.807272 
643 -1.37028 -0.617422 -0.956139 
644 1.24275 -0.68636 0.907703 
645 0.158825 1.11901 0.198229 
646 1.16552 -1.32433 -1.14887 
647 -0.178387 0.760921 0.493443 
648 -0.436274 1.04596 -0.897033 
649 -1.59606 -0.722421 -0.562706 
650 1.24843 1.03335 -1.6227 
651 -1.07996 0.0942496 0.476561 
652 -0.868837 -0.749549 0.679366 
653 0.960158 -0.0911442 0.601563 
654 -1.14995 -0.0915687 -1.0335 
655 -1.39772 -0.0332789 0.909859 
656 -0.210041 -1.47836 0.313965 
657 0.834544 1.73788 0.090362 
658 -0.681039 0.256006 -0.594416 
659 0.700799 -0.483977 -0.127407 
660 0.259446 0.0885109 1.52121 
661 0.403174 0.611913 0.0420445 
662 0.777016 -0.296349 -1.638 
663 -2.3501 -0.810652 2.12152 
664 0.618507 -0.374761 1.54167 
665 -2.65348 0.000285178 -1.60702 
666 -0.0121438 -0.13258 -1.09502 
667 0.553763 -0.300862 -1.18547 
668 0.246584 -1.30128 1.01798 
669 0.116287 -1.23659 -0.320498 
670 0.829356 0.14962 1.49657 
671 -0.733624 -1.48333 1.54515 
672 -0.901826 1.59322 -1.84447 
673 0.239691 1.74932 -0.20391 
